t,true_px,true_py,meas_px,meas_py,est_px,est_py
1.77,5.29974,27.8704,4.9375,27.9406,5.17599,28.1145
1.78,5.32974,27.6961,5.11831,27.7517,5.19384,27.9502
1.79,5.35973,27.5208,5.42036,27.3615,5.24692,27.757
1.8,5.38973,27.3446,5.29102,26.8071,5.27778,27.5176
1.81,5.41973,27.1674,5.28314,27.2016,5.30385,27.355
1.82,5.44973,26.9892,5.24671,27.034,5.32205,27.1914
1.83,5.47973,26.81,5.67735,26.9308,5.39148,27.0347
1.84,5.50972,26.6298,4.87229,26.3076,5.35268,26.8196
1.85,5.53972,26.4487,5.48885,26.2826,5.39416,26.6266
1.86,5.56972,26.2666,5.63063,26.6901,5.44846,26.5074
1.87,5.59972,26.0835,5.78023,26.1743,5.51521,26.3393
1.88,5.62971,25.8994,5.62181,25.7723,5.5547,26.1415
1.89,5.65971,25.7143,5.78536,25.9468,5.60987,25.989
1.9,5.68971,25.5283,5.77111,25.1818,5.65693,25.76
1.91,5.71971,25.3412,6.30195,25.3842,5.76471,25.583
1.92,5.74971,25.1532,6.10251,25.2573,5.83584,25.4116
1.93,5.7797,24.9642,5.62465,24.9501,5.83928,25.2228
1.94,5.8097,24.7743,5.42598,24.4236,5.81684,24.991
1.95,5.8397,24.5833,6.0115,24.5713,5.86904,24.8048
1.96,5.8697,24.3914,5.95842,24.3541,5.90855,24.614
1.97,5.8997,24.1985,5.82741,24.1893,5.92694,24.4256
1.98,5.92969,24.0046,5.58029,23.8394,5.91188,24.2163
1.99,5.95969,23.8097,5.99552,23.8145,5.94948,24.0289
2,5.98969,23.6138,5.9765,23.1319,5.98016,23.779
2.01,6.01969,23.417,6.02936,23.4819,6.0136,23.6019
2.02,6.04968,23.2192,5.66798,23.2202,5.99782,23.4139
2.03,6.07968,23.0204,6.1005,23.0042,6.03696,23.2219
2.04,6.10968,22.8206,5.64,22.7805,6.01394,23.0251
2.05,6.13968,22.6198,6.0617,22.7119,6.04525,22.8437
2.06,6.16968,22.4181,6.33625,22.4894,6.10697,22.6566
2.07,6.19967,22.2154,6.74584,22.3445,6.21281,22.4744
2.08,6.22967,22.0117,6.38131,21.8251,6.26162,22.2496
2.09,6.25967,21.807,6.12533,22.1538,6.27276,22.0926
2.1,6.28967,21.6013,6.51213,21.53,6.33033,21.8775
2.11,6.31966,21.3947,6.60523,21.1912,6.39289,21.6459
2.12,6.34966,21.187,6.50901,21.3957,6.43631,21.4673
2.13,6.37966,20.9784,6.45771,21.0014,6.46813,21.2616
2.14,6.40966,20.7688,6.32994,21.0061,6.48,21.0813
2.15,6.43966,20.5583,6.84356,21.031,6.55402,20.9264
2.16,6.46965,20.3467,6.58578,20.4149,6.58753,20.7142
2.17,6.49965,20.1342,6.63392,20.2895,6.62287,20.512
2.18,6.52965,19.9207,6.55717,19.7273,6.64425,20.2641
2.19,6.55965,19.7062,7.03253,20.0582,6.72201,20.0868
2.2,6.58965,19.4907,6.60385,19.2605,6.73755,19.832
2.21,6.61964,19.2742,6.21327,19.2853,6.70198,19.6103
2.22,6.64964,19.0568,6.39937,19.4335,6.69256,19.4337
2.23,6.67964,18.8384,6.02058,19.1107,6.63612,19.2389
2.24,6.70964,18.619,6.74655,18.7161,6.67541,19.0188
2.25,6.73963,18.3986,6.72533,17.9939,6.70736,18.735
2.26,6.76963,18.1772,6.53405,18.238,6.71152,18.5149
2.27,6.79963,17.9549,6.64861,17.5679,6.72889,18.2377
2.28,6.82963,17.7315,6.59055,17.7988,6.73661,18.0218
2.29,6.85963,17.5072,6.60584,17.69,6.74481,17.8186
2.3,6.88962,17.2819,6.74844,17.4215,6.76935,17.6068
2.31,6.91962,17.0557,6.7917,17.3224,6.79616,17.4086
2.32,6.94962,16.8284,6.97149,16.5866,6.84205,17.1429
2.33,6.97962,16.6002,7.16659,16.5303,6.90696,16.9017
2.34,7.00961,16.371,7.13347,16.9457,6.96045,16.7412
2.35,7.03961,16.1408,7.6052,16.1369,7.06667,16.5005
2.36,7.06961,15.9096,6.91416,15.5718,7.07508,16.2182
2.37,7.09961,15.6775,7.57856,15.7778,7.16485,15.9948
2.38,7.12961,15.4443,7.64888,15.0453,7.25348,15.7072
2.39,7.1596,15.2102,6.91135,14.5313,7.24025,15.3892
2.4,7.1896,14.9751,7.03293,15.1336,7.24282,15.1835
2.41,7.2196,14.739,6.7237,14.5058,7.20582,14.9249
2.42,7.2496,14.502,7.272,14.4143,7.24036,14.6858
2.43,7.2796,14.264,7.24681,14.068,7.26754,14.4325
2.44,7.30959,14.0249,7.16538,14.0886,7.2811,14.2123
2.45,7.33959,13.7849,7.6896,13.2536,7.35803,13.915
2.46,7.36959,13.5439,7.01409,13.9718,7.3421,13.7423
2.47,7.39959,13.302,7.52665,13.5982,7.39109,13.5453
2.48,7.42958,13.059,7.20396,13.2824,7.39413,13.3336
2.49,7.45958,12.8151,7.75921,12.1958,7.46548,13.0125
2.5,7.48958,12.5702,7.93458,12.5372,7.55073,12.7716
2.51,7.51958,12.3243,7.60456,12.2517,7.58535,12.5244
2.52,7.54958,12.0775,7.37065,11.9832,7.58652,12.2737
2.53,7.57957,11.8296,7.39117,12.1944,7.58944,12.0797
2.54,7.60957,11.5808,7.69441,11.8201,7.62921,11.8636
2.55,7.63957,11.331,8.21423,11.226,7.72909,11.6002
2.56,7.66957,11.0802,7.68715,10.8208,7.75225,11.3179
2.57,7.69956,10.8284,7.66458,10.7551,7.7695,11.0611
2.58,7.72956,10.5756,8.07715,10.4368,7.83575,10.7957
2.59,7.75956,10.3219,7.21343,10.2278,7.7867,10.5362
2.6,7.78956,10.0672,7.62251,10.0154,7.79304,10.2816
2.61,7.81956,9.8115,8.25621,9.86414,7.87713,10.039
2.62,7.84955,9.55482,7.7448,9.41196,7.88809,9.7698
2.63,7.87955,9.29716,7.7414,9.67869,7.89682,9.56633
2.64,7.90955,9.03852,7.60469,9.315,7.88691,9.34322
2.65,7.93955,8.7789,8.04341,8.78479,7.9321,9.08169
2.66,7.96955,8.5183,8.32111,8.53275,8.00666,8.82043
2.67,7.99954,8.25672,8.3422,8.44165,8.07552,8.5795
2.68,8.02955,7.99416,8.00195,8.25411,8.09417,8.3448
2.69,8.05955,7.73061,7.81029,7.52869,8.08628,8.04859
2.7,8.08955,7.46609,8.20429,6.93568,8.12768,7.71371
2.71,8.11398,7.23023,8.302,7.29915,8.17635,7.46356
2.72,8.12025,7.03002,8.19116,7.03504,8.2055,7.21115
2.73,8.1193,6.83172,7.64237,7.04771,8.16249,6.99127
2.74,8.11836,6.63244,8.62598,6.41579,8.24597,6.72015
2.75,8.11741,6.43218,8.35331,5.94626,8.28619,6.42332
2.76,8.11647,6.23093,8.11178,6.03955,8.29146,6.17369
2.77,8.11553,6.02871,8.36008,6.38909,8.32649,5.99841
2.78,8.11458,5.8255,7.90143,6.23329,8.30003,5.82677
2.79,8.11364,5.62132,8.23748,5.66888,8.31756,5.60739
2.8,8.11269,5.41615,8.52129,5.70181,8.36807,5.41969
2.81,8.11175,5.21,8.35293,4.96685,8.39174,5.16458
2.82,8.1108,5.00288,7.97275,5.13147,8.3649,4.96122
2.83,8.10986,4.79477,7.36527,4.73232,8.26438,4.73397
2.84,8.10892,4.58568,8.42296,4.3582,8.30558,4.48838
2.85,8.10797,4.3756,8.07384,4.17022,8.29844,4.24958
2.86,8.10703,4.16455,8.46658,3.96634,8.34051,4.01488
2.87,8.10608,3.95252,8.06547,4.37075,8.32766,3.85979
2.88,8.10514,3.73951,8.03531,3.88229,8.31183,3.66469
2.89,8.1042,3.52551,8.18973,3.66735,8.31639,3.4678
2.9,8.10325,3.31053,7.52934,3.39073,8.23758,3.26157
2.91,8.10231,3.09458,8.09382,2.63867,8.23683,2.98764
2.92,8.10136,2.87764,7.93584,3.03502,8.21601,2.79626
2.93,8.10042,2.65972,8.28283,2.19479,8.24022,2.52465
2.94,8.09947,2.44082,7.96401,2.34543,8.22176,2.30471
2.95,8.09853,2.22094,7.693,2.24017,8.17098,2.09921
2.96,8.09759,2.00008,8.1845,1.966,8.18637,1.88558
2.97,8.09664,1.77823,8.23882,1.57178,8.20662,1.64966
2.98,8.0957,1.55541,8.60115,1.45444,8.26966,1.4283
2.99,8.09475,1.33161,8.37135,1.38097,8.29719,1.22547
3,8.09381,1.10682,8.04813,1.41399,8.28118,1.05256
3.01,8.08967,0.893153,8.26059,0.567697,8.29295,0.796749
