t,true_x,true_y,true_theta,est_x,est_y,est_theta
17.5,-2.7873,1.58331,-1.00319,-2.77331,1.63569,-1.01868
17.6,-2.73353,1.49899,-0.973185,-2.7604,1.53569,-0.988226
17.7,-2.67727,1.41633,-0.943185,-2.69648,1.4373,-0.958705
17.8,-2.61855,1.33538,-0.913185,-2.66867,1.31923,-0.928937
17.9,-2.55742,1.25624,-0.883185,-2.60575,1.23544,-0.898859
18,-2.49395,1.17896,-0.853185,-2.55077,1.15136,-0.86831
18.1,-2.4282,1.10362,-0.823185,-2.50638,1.04786,-0.83811
18.2,-2.36021,1.03029,-0.793185,-2.45057,0.992695,-0.808865
18.3,-2.29005,0.959032,-0.763185,-2.36639,0.888026,-0.778815
18.4,-2.21778,0.88991,-0.733185,-2.29213,0.831878,-0.749114
18.5,-2.14348,0.822986,-0.703185,-2.2239,0.762056,-0.718572
18.6,-2.0672,0.758321,-0.673185,-2.12874,0.687815,-0.68841
18.7,-1.98902,0.695973,-0.643185,-2.0344,0.619157,-0.65934
18.8,-1.909,0.635998,-0.613185,-1.91997,0.592346,-0.62858
18.9,-1.82722,0.57845,-0.583185,-1.81993,0.532852,-0.598688
19,-1.74375,0.523382,-0.553185,-1.72943,0.510182,-0.568686
19.1,-1.65866,0.470842,-0.523185,-1.64432,0.45623,-0.540044
19.2,-1.57204,0.420878,-0.493185,-1.56171,0.400939,-0.509437
19.3,-1.48395,0.373534,-0.463185,-1.44843,0.353791,-0.478882
19.4,-1.39449,0.328854,-0.433185,-1.38333,0.297207,-0.450011
19.5,-1.30373,0.286878,-0.403185,-1.25027,0.236634,-0.418845
19.6,-1.21175,0.247643,-0.373185,-1.16407,0.190053,-0.38893
19.7,-1.11863,0.211184,-0.343185,-1.10381,0.159955,-0.358142
19.8,-1.02446,0.177536,-0.313185,-1.00772,0.155264,-0.32751
19.9,-0.929324,0.146727,-0.283185,-0.912773,0.112966,-0.297804
20,-0.833307,0.118785,-0.253185,-0.824977,0.0793802,-0.267079
20.1,-0.736495,0.0937361,-0.223185,-0.733973,0.00992894,-0.236665
20.2,-0.638975,0.0716024,-0.193185,-0.64387,-0.0354257,-0.206861
20.3,-0.540835,0.0524038,-0.163185,-0.548988,-0.0595159,-0.177185
20.4,-0.442164,0.0361576,-0.133185,-0.426378,-0.0839618,-0.147244
20.5,-0.343049,0.0228784,-0.103185,-0.295162,-0.0917353,-0.116976
20.6,-0.243581,0.0125782,-0.0731853,-0.217328,-0.122964,-0.0858756
20.7,-0.143849,0.00526616,-0.0431853,-0.158607,-0.137991,-0.0556895
20.8,-0.0439421,0.000948974,-0.0131853,-0.0647109,-0.134667,-0.0250902
20.9,0.0560492,-0.000369518,0.0168147,0.0342954,-0.161623,0.00463025
21,0.156035,0.00131187,0.0468147,0.139033,-0.172351,0.0346944
21.1,0.255926,0.00599163,0.0768147,0.234621,-0.155233,0.0658805
21.2,0.355631,0.0136655,0.106815,0.307948,-0.123565,0.096194
21.3,0.455061,0.0243267,0.136815,0.406629,-0.136629,0.126003
21.4,0.554126,0.0379655,0.166815,0.503443,-0.133111,0.156114
21.5,0.652738,0.0545698,0.196815,0.613286,-0.0769221,0.186119
21.6,0.750808,0.0741244,0.226815,0.701253,-0.0555682,0.21722
21.7,0.848246,0.0966119,0.256815,0.798977,-0.0333611,0.247021
21.8,0.944967,0.122012,0.286815,0.945818,-0.0113492,0.276804
