t,true_px,true_py,meas_px,meas_py,est_px,est_py
2.27,2.27,1.135,2.38004,0.193058,2.36971,1.16431
2.28,2.28,1.14,2.76431,1.46287,2.41441,1.19641
2.29,2.29,1.145,2.89608,1.07298,2.46723,1.19292
2.3,2.3,1.15,2.36402,0.909331,2.47083,1.1755
2.31,2.31,1.155,1.73597,0.853872,2.42018,1.15431
2.32,2.32,1.16,1.41035,1.6173,2.34471,1.19967
2.33,2.33,1.165,1.24256,2.18107,2.25955,1.29019
2.34,2.34,1.17,1.45794,1.91994,2.19815,1.35232
2.35,2.35,1.175,1.89597,1.45552,2.17807,1.37049
2.36,2.36,1.18,1.98378,2.01687,2.16668,1.4353
2.37,2.37,1.185,2.39185,1.72184,2.19082,1.47043
2.38,2.38,1.19,2.41802,1.36648,2.21552,1.47263
2.39,2.39,1.195,2.69805,0.930638,2.26246,1.43716
2.4,2.4,1.2,1.75985,0.549198,2.22594,1.37112
2.41,2.41,1.205,2.43542,0.96068,2.24946,1.34436
2.42,2.42,1.21,1.34707,1.46647,2.17821,1.36243
2.43,2.43,1.215,1.82076,0.634837,2.15199,1.308
2.44,2.44,1.22,2.41919,0.769942,2.17857,1.2685
2.45,2.45,1.225,2.51125,2.21173,2.21122,1.35477
2.46,2.46,1.23,2.27047,0.70021,2.22105,1.30599
2.47,2.47,1.235,2.56075,0.847384,2.25497,1.27282
2.48,2.48,1.24,2.49188,1.39782,2.28068,1.28876
2.49,2.49,1.245,2.4724,1.27328,2.30292,1.29289
2.5,2.5,1.25,2.59605,2.04856,2.33417,1.36295
2.51,2.51,1.255,2.38354,1.31872,2.34506,1.3659
2.52,2.52,1.26,2.95342,1.49552,2.40385,1.38362
2.53,2.53,1.265,2.3509,1.71593,2.40711,1.4189
2.54,2.54,1.27,2.10438,1.15663,2.3889,1.40389
2.55,2.55,1.275,2.16446,1.56309,2.37684,1.42445
2.56,2.56,1.28,3.1548,1.39167,2.45013,1.42886
2.57,2.57,1.285,2.60763,0.847496,2.47169,1.38626
2.58,2.58,1.29,2.22872,0.69337,2.45925,1.33309
2.59,2.59,1.295,1.50166,1.09948,2.38522,1.318
2.6,2.6,1.3,2.45095,2.38642,2.39706,1.41387
2.61,2.61,1.305,3.39141,1.58282,2.48844,1.43465
2.62,2.62,1.31,3.66224,2.00545,2.59691,1.4901
2.63,2.63,1.315,1.62622,1.84873,2.52394,1.52838
2.64,2.64,1.32,2.99573,1.17531,2.57267,1.50638
2.65,2.65,1.325,1.9424,1.6227,2.52792,1.52391
2.66,2.66,1.33,1.62044,1.31926,2.45833,1.51417
2.67,2.67,1.335,2.36145,0.705579,2.4565,1.45239
2.68,2.68,1.34,3.2744,1.31935,2.53274,1.44697
2.69,2.69,1.345,2.77698,1.79894,2.56132,1.4828
